target_age,current_age,model,n_samples,bmi_mae,bmi_rmse,class_accuracy,z_correlation,z_score_actual_mean,z_score_actual_std,z_score_pred_mean,z_score_pred_std
12,6,LinearRegression,248,2.782620967741935,3.44176735123105,0.967741935483871,0.7001355325131193,-3.277661290322581,1.8871428775041026,-5.897540322580646,3.1006952911720735
12,6,SVR,251,2.7027091633466136,3.5550368285841487,0.9641434262948207,0.5545797875941991,-3.295298804780877,1.8826789133560147,-5.844860557768925,2.963386583002093
12,6,MLP,247,2.8038056680161945,3.463877563263366,0.9635627530364372,0.6967974056569951,-3.272307692307692,1.8890787599239713,-5.885425101214575,3.1422586131250547
12,6,XGB,248,2.7847580645161285,3.419667145658591,0.967741935483871,0.7206888493781046,-3.277661290322581,1.8871428775041026,-5.902983870967742,3.1179429943263695
12,6,LinearRegression,333,3.031291291291291,3.903504316117243,0.8468468468468469,0.03013956930964473,-4.136456456456456,2.0200611136197377,-5.0163363363363365,3.283649241824456
12,6,SVR,335,2.993970149253731,3.9304947089032467,0.8477611940298507,-0.030462346401523527,-4.132029850746268,2.01641829623161,-4.971074626865671,3.2070033500088746
12,6,MLP,332,3.012228915662651,3.8712468026759694,0.8463855421686747,0.040416603662308904,-4.140722891566265,2.021602479683263,-4.987530120481928,3.273769691972957
12,6,XGB,332,3.0245481927710838,3.90002127735932,0.8463855421686747,0.02459683308144625,-4.131204819277109,2.020830020090076,-5.004487951807229,3.2693735873205587
12,6,LinearRegression,333,3.031291291291291,3.903504316117243,0.8468468468468469,0.03013956930964473,-4.136456456456456,2.0200611136197377,-5.0163363363363365,3.283649241824456
12,6,SVR,335,2.993970149253731,3.9304947089032467,0.8477611940298507,-0.030462346401523527,-4.132029850746268,2.01641829623161,-4.971074626865671,3.2070033500088746
12,6,MLP,332,3.012228915662651,3.8712468026759694,0.8463855421686747,0.040416603662308904,-4.140722891566265,2.021602479683263,-4.987530120481928,3.273769691972957
12,6,XGB,332,3.0245481927710838,3.90002127735932,0.8463855421686747,0.02459683308144625,-4.131204819277109,2.020830020090076,-5.004487951807229,3.2693735873205587
12,6,LinearRegression,383,5.04509138381201,5.3588741705678355,0.015665796344647518,-0.7375103270776405,-4.367493472584856,1.6093686173661823,0.5655874673629243,0.6021997162272115
12,6,SVR,313,2.5652396166134186,3.3510902331627426,0.9169329073482428,0.14210888872314636,-4.105239616613419,1.9807416294529119,-4.983514376996806,2.853315617552951
12,6,MLP,336,3.565505952380953,4.532247648794139,0.6636904761904762,-0.09113051439630071,-4.295803571428571,1.813858344074365,-2.541428571428572,3.603080904837237
12,6,XGB,297,2.670909090909091,3.4587513560186633,0.8451178451178452,0.20671127110454485,-4.2232659932659935,2.091257843250808,-4.603737373737373,3.194842409035152
12,6,LinearRegression,409,4.583154034229829,5.24305476105141,0.25183374083129584,-0.9178560675716644,-4.4190220048899755,1.4849061356832032,-0.22579462102689485,1.7288492482286162
12,6,SVR,339,2.5267551622418876,3.4074261690233487,0.9498525073746312,0.18167922656273658,-4.17,2.0137894831873244,-5.277935103244838,2.9078198680745238
12,6,MLP,315,4.236634920634921,5.16297164339261,0.6222222222222222,-0.1223624723070376,-4.219142857142857,2.0032919483653617,-3.0120952380952377,4.364234588846624
12,6,XGB,317,2.7364984227129336,3.5883952020621925,0.8548895899053628,0.1493474331305284,-4.184921135646688,2.0378247534176275,-4.755236593059936,3.2183129911014707
