Feature,Avg_Correlation,Max_Correlation,Std_Correlation,Times_Used,Measures,Target_Ages
wt_6m_zscore,0.6728881435785061,0.7947695731303419,0.09951577050765734,5,"bmi, height",12
ht_6m_zscore,0.60153847019187,1.0,0.488013715079354,5,"bmi, height",12
BMI_6m_zscore,0.4023077052878049,0.9999999999999999,0.488013715079354,5,"bmi, height",12
ht_birth_zscore,0.30447396332981846,0.4973338498706533,0.23620415693805125,5,"bmi, height",12
wt_birth_zscore,0.21876517514888866,0.3126937072807781,0.11503848800587169,5,"bmi, height",12
BMI_birth_zscore,0.060862039897835826,0.07037448284720962,0.007766877144433751,5,"bmi, height",12
