Transition_Key,Predictor_Age,Target_Age,Metric,Feature_Space,Feature_Count,Model,Accuracy,Precision,Recall,F1_Score
Birth_to_6Months_Weight_S4_S6_Zscore_Only,Birth,6Months,Weight,BIC_Optimized_Space,1,XGBoost_Classifier,0.8372,0.2791,0.3333,0.3038
Birth_to_6Months_Weight_S4_S6_Zscore_Only,Birth,6Months,Weight,BIC_Optimized_Space,1,Support_Vector_Classifier,0.8488,0.6157,0.4,0.4168
Birth_to_6Months_Weight_S4_S6_Zscore_Only,Birth,6Months,Weight,BIC_Optimized_Space,1,Neural_Network_MLP,0.8372,0.2791,0.3333,0.3038
Birth_to_6Months_Height_S1_S5_All_Data,Birth,6Months,Height,Full_Feature_Space,7,XGBoost_Classifier,0.8837,0.6345,0.4358,0.4792
Birth_to_6Months_Height_S1_S5_All_Data,Birth,6Months,Height,Full_Feature_Space,7,Support_Vector_Classifier,0.907,0.6353,0.4444,0.4835
Birth_to_6Months_Height_S1_S5_All_Data,Birth,6Months,Height,Full_Feature_Space,7,Neural_Network_MLP,0.8953,0.6386,0.4401,0.4833
Birth_to_6Months_Height_S1_S5_All_Data,Birth,6Months,Height,AIC_Optimized_Space,2,XGBoost_Classifier,0.8837,0.6345,0.4358,0.4792
Birth_to_6Months_Height_S1_S5_All_Data,Birth,6Months,Height,AIC_Optimized_Space,2,Support_Vector_Classifier,0.8953,0.2984,0.3333,0.3149
Birth_to_6Months_Height_S1_S5_All_Data,Birth,6Months,Height,AIC_Optimized_Space,2,Neural_Network_MLP,0.8837,0.6345,0.4358,0.4792
Birth_to_6Months_Height_S1_S5_All_Data,Birth,6Months,Height,BIC_Optimized_Space,1,XGBoost_Classifier,0.907,0.8052,0.4957,0.5667
Birth_to_6Months_Height_S1_S5_All_Data,Birth,6Months,Height,BIC_Optimized_Space,1,Support_Vector_Classifier,0.8953,0.2984,0.3333,0.3149
Birth_to_6Months_Height_S1_S5_All_Data,Birth,6Months,Height,BIC_Optimized_Space,1,Neural_Network_MLP,0.8953,0.2984,0.3333,0.3149
Birth_to_6Months_Height_S2_No_Zscores,Birth,6Months,Height,Full_Feature_Space,4,XGBoost_Classifier,0.8953,0.6349,0.4401,0.4814
Birth_to_6Months_Height_S2_No_Zscores,Birth,6Months,Height,Full_Feature_Space,4,Support_Vector_Classifier,0.907,0.6353,0.4444,0.4835
Birth_to_6Months_Height_S2_No_Zscores,Birth,6Months,Height,Full_Feature_Space,4,Neural_Network_MLP,0.907,0.6389,0.4444,0.4855
Birth_to_6Months_Height_S2_No_Zscores,Birth,6Months,Height,AIC_Optimized_Space,2,XGBoost_Classifier,0.8953,0.6349,0.4401,0.4814
Birth_to_6Months_Height_S2_No_Zscores,Birth,6Months,Height,AIC_Optimized_Space,2,Support_Vector_Classifier,0.907,0.6353,0.4444,0.4835
Birth_to_6Months_Height_S2_No_Zscores,Birth,6Months,Height,AIC_Optimized_Space,2,Neural_Network_MLP,0.8953,0.6349,0.4401,0.4814
Birth_to_6Months_Height_S2_No_Zscores,Birth,6Months,Height,BIC_Optimized_Space,1,XGBoost_Classifier,0.907,0.8052,0.4957,0.5667
Birth_to_6Months_Height_S2_No_Zscores,Birth,6Months,Height,BIC_Optimized_Space,1,Support_Vector_Classifier,0.8953,0.2984,0.3333,0.3149
