target_age,measure,target_col,model,n_samples,mae,rmse,acc,precision,recall,f1
12,bmi,BMI_birth_zscore,LinearRegression,428,7.811903578794161e-16,1.757615369151607e-15,1.0,1.0,1.0,1.0
12,bmi,BMI_birth_zscore,SVR,428,0.38390720016572694,2.367700710696311,0.9418604651162791,0.3333333333333333,0.313953488372093,0.3233532934131737
12,bmi,BMI_birth_zscore,MLP,428,0.04377639484290792,0.06391227144696257,1.0,1.0,1.0,1.0
12,bmi,BMI_birth_zscore,XGB,428,0.19406902353981328,1.3873565719166276,0.9651162790697675,0.5,0.48255813953488375,0.49112426035502965
12,height,ht_birth_zscore,LinearRegression,428,2.464114184015427e-16,3.5754607911745035e-16,1.0,1.0,1.0,1.0
12,height,ht_birth_zscore,SVR,428,0.3724355940883254,1.8242807858930692,0.9418604651162791,0.3333333333333333,0.313953488372093,0.3233532934131737
12,height,ht_birth_zscore,MLP,428,0.030958088708309076,0.07500680579344164,1.0,1.0,1.0,1.0
12,height,ht_birth_zscore,XGB,428,0.08240523894828149,0.6353808960136468,0.9767441860465116,0.3333333333333333,0.3255813953488372,0.32941176470588235
12,weight,wt_birth_zscore,LinearRegression,430,4.781382008669098e-16,6.327457970123158e-16,1.0,1.0,1.0,1.0
12,weight,wt_birth_zscore,SVR,430,0.11570458604128044,0.4465030481614887,0.9883720930232558,0.5,0.4941860465116279,0.49707602339181284
12,weight,wt_birth_zscore,MLP,430,0.03229704564475102,0.04209530511427118,1.0,1.0,1.0,1.0
12,weight,wt_birth_zscore,XGB,430,0.0202771334442035,0.058579658219858076,1.0,1.0,1.0,1.0
12,bmi,BMI_6m_zscore,LinearRegression,428,3.864802534850654e-17,1.1376326853284168e-16,1.0,1.0,1.0,1.0
12,bmi,BMI_6m_zscore,SVR,428,0.0911972689920268,0.2203160534164147,0.9767441860465116,0.9805555555555556,0.969281045751634,0.9745684695051784
12,bmi,BMI_6m_zscore,MLP,428,0.029236367510308333,0.04543230766871663,0.9767441860465116,0.983739837398374,0.9777777777777779,0.9801724137931035
12,bmi,BMI_6m_zscore,XGB,428,0.11550339718927201,0.8565594628269136,1.0,1.0,1.0,1.0
12,bmi,BMI_6m_zscore_Imputation,LinearRegression,428,3.864802534850654e-17,1.1376326853284168e-16,1.0,1.0,1.0,1.0
12,bmi,BMI_6m_zscore_Imputation,SVR,428,0.0911972689920268,0.2203160534164147,0.9767441860465116,0.9805555555555556,0.969281045751634,0.9745684695051784
12,bmi,BMI_6m_zscore_Imputation,MLP,428,0.029236367510308333,0.04543230766871663,0.9767441860465116,0.983739837398374,0.9777777777777779,0.9801724137931035
12,bmi,BMI_6m_zscore_Imputation,XGB,428,0.11550339718927201,0.8565594628269136,1.0,1.0,1.0,1.0
12,height,ht_6m_zscore,LinearRegression,428,2.2188323529935906e-16,4.201380229281058e-16,1.0,1.0,1.0,1.0
12,height,ht_6m_zscore,SVR,428,0.13562077415578375,0.4147445702748063,0.9418604651162791,0.948529411764706,0.9391550977757874,0.9423118261322111
12,height,ht_6m_zscore,MLP,428,0.030826007947340143,0.045638353991870516,1.0,1.0,1.0,1.0
12,height,ht_6m_zscore,XGB,428,0.0056673316799405096,0.0188035534091798,1.0,1.0,1.0,1.0
12,height,ht_6m_zscore_Imputation,LinearRegression,428,2.2188323529935906e-16,4.201380229281058e-16,1.0,1.0,1.0,1.0
12,height,ht_6m_zscore_Imputation,SVR,428,0.13562077415578375,0.4147445702748063,0.9418604651162791,0.948529411764706,0.9391550977757874,0.9423118261322111
12,height,ht_6m_zscore_Imputation,MLP,428,0.030826007947340143,0.045638353991870516,1.0,1.0,1.0,1.0
12,height,ht_6m_zscore_Imputation,XGB,428,0.0056673316799405096,0.0188035534091798,1.0,1.0,1.0,1.0
12,weight,wt_6m_zscore,LinearRegression,430,3.656635717733437e-16,4.485086660379164e-16,1.0,1.0,1.0,1.0
12,weight,wt_6m_zscore,SVR,430,0.06929253343124306,0.20818816501334939,1.0,1.0,1.0,1.0
12,weight,wt_6m_zscore,MLP,430,0.023433388728927168,0.03785786115236665,1.0,1.0,1.0,1.0
12,weight,wt_6m_zscore,XGB,430,0.028330635322043128,0.08757469487301665,1.0,1.0,1.0,1.0
12,weight,wt_6m_zscore_Imputation,LinearRegression,430,3.656635717733437e-16,4.485086660379164e-16,1.0,1.0,1.0,1.0
12,weight,wt_6m_zscore_Imputation,SVR,430,0.06929253343124306,0.20818816501334939,1.0,1.0,1.0,1.0
12,weight,wt_6m_zscore_Imputation,MLP,430,0.023433388728927168,0.03785786115236665,1.0,1.0,1.0,1.0
12,weight,wt_6m_zscore_Imputation,XGB,430,0.028330635322043128,0.08757469487301665,1.0,1.0,1.0,1.0
12,bmi,BMI_12m_zscore,LinearRegression,386,2.555743326651638,2.7853310978172425,0.5512820512820513,0.29777777777777775,0.3422480620155039,0.2662736428395972
12,bmi,BMI_12m_zscore,SVR,386,0.6580202311003885,0.9220512991337567,0.7051282051282052,0.6607122795191551,0.6401808785529716,0.6471432672983061
12,bmi,BMI_12m_zscore,MLP,386,4.044173098235753,7.648231202818234,0.5384615384615384,0.4476495726495726,0.4224806201550388,0.4237986270022884
12,bmi,BMI_12m_zscore,XGB,386,0.825204983141725,1.07965146835287,0.6410256410256411,0.551089845826688,0.5512919896640827,0.5510757441791925
12,bmi,BMI_12m_zscore_Imputation,LinearRegression,415,2.7281187713327397,5.2153429363118375,0.6385542168674698,0.6884615384615383,0.5432936507936508,0.5499204844999238
12,bmi,BMI_12m_zscore_Imputation,SVR,415,0.8097229018650122,1.0768339692366824,0.7710843373493976,0.7327485380116959,0.7490476190476191,0.7389414302306289
12,bmi,BMI_12m_zscore_Imputation,MLP,415,6.607487329123205,26.884028570603704,0.4819277108433735,0.40228658175004156,0.4014285714285714,0.40000645744543456
12,bmi,BMI_12m_zscore_Imputation,XGB,415,0.9714962694123543,1.2856138919704632,0.6506024096385542,0.6324107683000605,0.6330952380952382,0.6311728395061729
12,height,ht_1y_zscore,LinearRegression,386,0.7857626773044293,0.987909989534561,0.717948717948718,0.7777777777777778,0.6720549981419547,0.6935222779502693
