Model,Accuracy,Precision (macro),Recall (macro),F1 (macro)
RandomForest,0.875,0.5555555555555555,0.5607344632768362,0.5581232492997198
XGBoost,0.875,0.5527690700104494,0.5717514124293785,0.5616605616605617
SVM (RBF),0.8625,0.5418181818181819,0.5771186440677966,0.5559454191033139
LogisticRegression,0.8375,0.5631789594053745,0.5548022598870057,0.5575396825396826
