transition,measure,model,mae,rmse,accuracy,precision_macro,recall_macro,f1_macro,n_test
18m->24m,bmi,LinearRegression,2.313244223767402e-15,3.110547567040601e-15,0.6373626373626373,0.5,0.31868131868131866,0.38926174496644295,91
18m->24m,bmi,SVR,0.2192734903913413,0.38067269936795084,0.3956043956043956,0.25,0.0989010989010989,0.14173228346456693,91
18m->24m,bmi,MLP,0.23618494153655314,0.30503910843862503,0.4725274725274725,0.25,0.11813186813186813,0.16044776119402984,91
18m->24m,bmi,XGBoost,0.043238647529053126,0.08320292508184705,0.5494505494505495,0.5,0.27472527472527475,0.3546099290780142,91
18m->24m,ht,LinearRegression,1.9264199515199143e-15,4.903159482713019e-15,0.5274725274725275,0.5,0.26373626373626374,0.34532374100719426,91
18m->24m,ht,SVR,0.3069536172087425,0.5319892012900832,0.3516483516483517,0.25,0.08791208791208792,0.13008130081300814,91
18m->24m,ht,MLP,0.3318911779908775,0.5648325523138206,0.34065934065934067,0.25,0.08516483516483517,0.12704918032786885,91
18m->24m,ht,XGBoost,0.04793949719418439,0.16721796591753196,0.42857142857142855,0.25,0.10714285714285714,0.15,91
18m->24m,wt,LinearRegression,1.169394251761772e-15,2.9711432973004405e-15,0.6153846153846154,0.5,0.3076923076923077,0.380952380952381,91
18m->24m,wt,SVR,0.2024868481260954,0.34905494734264086,0.4065934065934066,0.25,0.10164835164835165,0.14453125,91
18m->24m,wt,MLP,0.3204749323931076,0.7081721771281189,0.3956043956043956,0.25,0.0989010989010989,0.14173228346456693,91
18m->24m,wt,XGBoost,0.025768911870360258,0.061393254475272274,0.5164835164835165,0.5,0.25824175824175827,0.3405797101449276,91
