measure,transition,model,mae,rmse,accuracy,precision_macro,recall_macro,f1_macro,n_test
bmi,birth->6m,LinearRegression,2.1891351492829298e-15,5.711167791251955e-15,0.4158415841584158,0.5,0.2079207920792079,0.2937062937062937,101
ht,birth->6m,LinearRegression,3.500500219721595e-15,1.2303096069088687e-14,0.43564356435643564,0.5,0.21782178217821782,0.30344827586206896,101
wt,birth->6m,LinearRegression,9.600148646335212e-16,1.7526098039530196e-15,0.43564356435643564,0.5,0.21782178217821782,0.30344827586206896,101
