measure,transition,model,mae,rmse,accuracy,precision_macro,recall_macro,f1_macro,n_test
bmi,18m->24m,LinearRegression,2.313244223767402e-15,3.110547567040601e-15,0.6373626373626373,0.5,0.31868131868131866,0.38926174496644295,91
ht,18m->24m,LinearRegression,1.9264199515199143e-15,4.903159482713019e-15,0.5274725274725275,0.5,0.26373626373626374,0.34532374100719426,91
wt,18m->24m,LinearRegression,1.169394251761772e-15,2.9711432973004405e-15,0.6153846153846154,0.5,0.3076923076923077,0.380952380952381,91
