transition,measure,model,mae,rmse,accuracy,precision_macro,recall_macro,f1_macro,n_test
36m->48m,bmi,LinearRegression,7.135640458140932e-15,8.497499227268939e-15,0.5238095238095238,0.5,0.2619047619047619,0.34375000000000006,42
36m->48m,bmi,SVR,0.34348349930987065,0.5326091863571148,0.3333333333333333,0.25,0.08333333333333333,0.125,42
36m->48m,bmi,MLP,0.4805890619997873,0.6329945929153045,0.2619047619047619,0.25,0.06547619047619048,0.10377358490566038,42
36m->48m,bmi,XGBoost,0.05611707871858762,0.08121333046202177,0.8095238095238095,0.5,0.40476190476190477,0.4473684210526316,42
36m->48m,ht,LinearRegression,3.515275925644536e-15,4.30380254418977e-15,0.6046511627906976,0.5,0.3023255813953488,0.37681159420289856,43
36m->48m,ht,SVR,0.37860848043116846,0.9019348532439184,0.4883720930232558,0.25,0.12209302325581395,0.1640625,43
36m->48m,ht,MLP,0.30381287008816954,0.40033409595023894,0.4418604651162791,0.25,0.11046511627906977,0.1532258064516129,43
36m->48m,ht,XGBoost,0.0653467234204174,0.29476406277378825,0.6046511627906976,0.3333333333333333,0.20155038759689922,0.25120772946859904,43
36m->48m,wt,LinearRegression,1.3826552951663514e-15,1.7229799298335824e-15,0.5116279069767442,0.5,0.2558139534883721,0.3384615384615385,43
36m->48m,wt,SVR,0.3685954121564931,0.6420067856029505,0.5116279069767442,0.25,0.12790697674418605,0.16923076923076924,43
36m->48m,wt,MLP,0.44203600829114076,0.5690184439795932,0.3953488372093023,0.25,0.09883720930232558,0.14166666666666666,43
36m->48m,wt,XGBoost,0.04988364164105329,0.11314101911426076,0.5116279069767442,0.5,0.2558139534883721,0.3384615384615385,43
