measure,transition,model,mae,rmse,accuracy,precision_macro,recall_macro,f1_macro,n_test
bmi,6m->12m,LinearRegression,1.0602558350181544e-15,1.757096520132709e-15,0.5773195876288659,0.5,0.28865979381443296,0.3660130718954248,97
ht,6m->12m,LinearRegression,1.0584316928063027e-15,1.3163212342040005e-15,0.5257731958762887,0.5,0.26288659793814434,0.3445945945945946,97
wt,6m->12m,LinearRegression,9.815315799537226e-16,1.6979137586059646e-15,0.4329896907216495,0.5,0.21649484536082475,0.302158273381295,97
