transition,measure,model,mae,rmse,accuracy,precision_macro,recall_macro,f1_macro,n_test
18m->24m,bmi,LinearRegression,1.2605961683778824,1.624470859894775,0.4594594594594595,0.33667257683215135,0.46426282051282053,0.35709549071618035,74
18m->24m,bmi,SVR,1.1806574013581328,1.5477555124460325,0.4864864864864865,0.3504419191919192,0.43974358974358974,0.34765806530512416,74
18m->24m,bmi,MLP,1.551949163178205,1.952333475015157,0.44594594594594594,0.2864583333333333,0.4075320512820513,0.2795255183413078,74
18m->24m,bmi,XGBoost,1.0957542190575218,1.4300742868410588,0.527027027027027,0.3655797101449275,0.4551282051282052,0.3598560354374308,74
18m->24m,ht,LinearRegression,0.9466366328790011,1.1976937422762202,0.2972972972972973,0.3050824175824176,0.3888888888888889,0.3069246838301717,74
18m->24m,ht,SVR,0.9501278313112753,1.2377785434861917,0.32432432432432434,0.33095238095238094,0.39550264550264547,0.3263023962677599,74
18m->24m,ht,MLP,1.2386874615468293,1.5666174511502653,0.2972972972972973,0.3347069597069597,0.3621031746031746,0.29785661492978566,74
18m->24m,ht,XGBoost,0.8461286658452669,1.1006399576952044,0.3783783783783784,0.3878968253968254,0.4669312169312169,0.38233780915466964,74
18m->24m,wt,LinearRegression,4.552075464580358,30.794697947434592,0.3287671232876712,0.22078754578754578,0.24933155080213903,0.22108156028368797,73
18m->24m,wt,SVR,0.9652906390180029,1.140393492279326,0.3287671232876712,0.2068936877076412,0.21501782531194297,0.19791666666666666,73
18m->24m,wt,MLP,5.7868491432498015,40.05500084018427,0.3013698630136986,0.1952261830310611,0.20008912655971478,0.18686984857197622,73
18m->24m,wt,XGBoost,0.8277523564567706,1.0636583396573351,0.3835616438356164,0.26537433155080214,0.24376114081996433,0.24702903549479496,73
