transition,measure,model,mae,rmse,accuracy,precision_macro,recall_macro,f1_macro,n_test
12m->18m,bmi,LinearRegression,1.0235141380528,1.2236900244440483,0.25274725274725274,0.25468749999999996,0.2625876411170529,0.24884531518435313,91
12m->18m,bmi,SVR,1.007746947997928,1.2036442889312053,0.26373626373626374,0.2629148629148629,0.2801386413151119,0.26196189461684377,91
12m->18m,bmi,MLP,1.1211307738762533,1.3503607022014685,0.2857142857142857,0.3001627288092926,0.2993979005743712,0.28306159420289856,91
12m->18m,bmi,XGBoost,0.9727326373162464,1.2501492535892942,0.3076923076923077,0.320496632996633,0.316678550207962,0.3106384984364184,91
12m->18m,ht,LinearRegression,1.2256547707963916,2.3683547895283494,0.26666666666666666,0.2857513197586727,0.3037878787878788,0.27,90
12m->18m,ht,SVR,1.0562071574570324,1.3834158769210887,0.23333333333333334,0.2541208791208791,0.2659307359307359,0.23256531204644415,90
12m->18m,ht,MLP,1.2794164796878638,1.6057709516671004,0.2,0.21319102353585112,0.233001443001443,0.2028183709063879,90
12m->18m,ht,XGBoost,0.9603203807284056,1.3089292096005465,0.3,0.3029100529100529,0.32497113997113997,0.30278352887048543,90
12m->18m,wt,LinearRegression,0.7821413812777627,0.9663958164682658,0.24175824175824176,0.22357174988753936,0.20408163265306123,0.1957239231966788,91
12m->18m,wt,SVR,0.7425414530232111,0.9119335823945873,0.27472527472527475,0.2709271425407839,0.2308673469387755,0.22446808510638297,91
12m->18m,wt,MLP,0.9883128695243977,1.2433491957570586,0.27472527472527475,0.2920289855072464,0.25510204081632654,0.23912313177019057,91
12m->18m,wt,XGBoost,0.7367376047912735,0.9075893973778719,0.24175824175824176,0.20190746753246752,0.18749999999999997,0.18647644242882339,91
