measure,transition,model,mae,rmse,accuracy,precision_macro,recall_macro,f1_macro,n_test
bmi,18m->24m,XGBoost,1.0957542190575218,1.4300742868410588,0.527027027027027,0.3655797101449275,0.4551282051282052,0.3598560354374308,74
ht,18m->24m,XGBoost,0.8461286658452669,1.1006399576952044,0.3783783783783784,0.3878968253968254,0.4669312169312169,0.38233780915466964,74
wt,18m->24m,XGBoost,0.8277523564567706,1.0636583396573351,0.3835616438356164,0.26537433155080214,0.24376114081996433,0.24702903549479496,73
