transition,measure,model,mae,rmse,accuracy,precision_macro,recall_macro,f1_macro,n_test
36m->48m,bmi,LinearRegression,1.6398624785395002,2.524486518762713,0.2608695652173913,0.30753968253968256,0.37916666666666665,0.2672494172494172,23
36m->48m,bmi,SVR,1.4390814383860213,2.0787819134310914,0.2608695652173913,0.28154761904761905,0.37916666666666665,0.2618492618492618,23
36m->48m,bmi,MLP,2.1437053002392137,3.449080841893607,0.13043478260869565,0.10515873015873015,0.23958333333333331,0.13434343434343432,23
36m->48m,bmi,XGBoost,1.3301429503732742,1.9056188370684608,0.17391304347826086,0.17708333333333331,0.32291666666666663,0.18636363636363637,23
36m->48m,ht,LinearRegression,0.6219695264697351,0.7176886805071445,0.3333333333333333,0.21875,0.18990384615384615,0.20244565217391305,24
36m->48m,ht,SVR,0.715981235781777,0.8865762728432592,0.2916666666666667,0.2875,0.3701923076923077,0.25587044534412956,24
36m->48m,ht,MLP,0.7253546854095371,0.8790647719060801,0.20833333333333334,0.1958333333333333,0.23798076923076922,0.18907563025210083,24
36m->48m,ht,XGBoost,0.7674015468093126,0.9428980228428409,0.25,0.2625,0.3389423076923077,0.2217948717948718,24
36m->48m,wt,LinearRegression,0.8571896745768951,0.9412850052494497,0.17391304347826086,0.13392857142857142,0.20833333333333331,0.15000000000000002,23
36m->48m,wt,SVR,0.8034146470190571,0.9549078306816566,0.17391304347826086,0.15625,0.14583333333333331,0.12878787878787878,23
36m->48m,wt,MLP,0.9606951268529482,1.0901929600693774,0.13043478260869565,0.14166666666666666,0.125,0.11437908496732026,23
36m->48m,wt,XGBoost,0.7847420976573924,0.8731913918433317,0.21739130434782608,0.19642857142857142,0.22916666666666666,0.18333333333333335,23
