,BMI_24m_zscore,ht_24m_zscore,wt_24m_zscore
BMI_24m_zscore,1.0,-0.23726257676697818,0.6641449730943237
ht_24m_zscore,-0.23726257676697818,1.0,0.5329177359752085
wt_24m_zscore,0.6641449730943237,0.5329177359752085,1.0
