,birth_order,headcirc_birth_cm,height_birth_cm,weight_birth_g,BMI_birth_zscore,ht_birth_zscore,wt_birth_zscore
birth_order,1.0,0.03162298099449336,0.07593636087181838,0.08907527990204761,0.054929302561110956,0.07748371323028458,0.09547269268418167
headcirc_birth_cm,0.03162298099449336,1.0,0.21085323037752818,0.1587643636201818,0.16003691857274666,0.20342334745120247,0.20999601245151212
height_birth_cm,0.07593636087181838,0.21085323037752818,1.0,0.25279762629082114,-0.22057017047396266,0.9945240435432858,0.3166599918624282
weight_birth_g,0.08907527990204761,0.1587643636201818,0.25279762629082114,1.0,0.8606567770274962,0.2545407578313244,0.9908901132823392
BMI_birth_zscore,0.054929302561110956,0.16003691857274666,-0.22057017047396266,0.8606567770274962,1.0,-0.21638242045582465,0.8369360802496961
ht_birth_zscore,0.07748371323028458,0.20342334745120247,0.9945240435432858,0.2545407578313244,-0.21638242045582465,1.0,0.3235880182318537
wt_birth_zscore,0.09547269268418167,0.20999601245151212,0.3166599918624282,0.9908901132823392,0.8369360802496961,0.3235880182318537,1.0
