,height_birth_cm,weight_birth_g,BMI_birth_zscore,ht_birth_zscore,wt_birth_zscore
height_birth_cm,1.0,0.2517833949913493,-0.22090828860847375,0.9945283250883777,0.3159457846879737
weight_birth_g,0.2517833949913493,1.0,0.8609538613751514,0.2534894711266354,0.9908804560279977
BMI_birth_zscore,-0.22090828860847375,0.8609538613751514,1.0,-0.21674769439505676,0.8371536145254194
ht_birth_zscore,0.9945283250883777,0.2534894711266354,-0.21674769439505676,1.0,0.3228125172176376
wt_birth_zscore,0.3159457846879737,0.9908804560279977,0.8371536145254194,0.3228125172176376,1.0
