,BMI_6m_zscore,ht_6m_zscore,wt_6m_zscore,BMI_36m_zscore,ht_36m_zscore,wt_36m_zscore_Imputation
BMI_6m_zscore,1.0,0.015007171545445569,0.8074058579761317,0.32604482422644054,0.05293454251049318,0.289245981441426
ht_6m_zscore,0.015007171545445569,1.0,0.5787593602457948,0.02274682162676855,0.3464655386777257,0.29655928931113534
wt_6m_zscore,0.8074058579761317,0.5787593602457948,1.0,0.2703807319881585,0.23815336205857693,0.39674966248220056
BMI_36m_zscore,0.32604482422644054,0.02274682162676855,0.2703807319881585,1.0,-0.08150545414494753,0.6105979313602355
ht_36m_zscore,0.05293454251049318,0.3464655386777257,0.23815336205857693,-0.08150545414494753,1.0,0.6930089019739629
wt_36m_zscore_Imputation,0.289245981441426,0.29655928931113534,0.39674966248220056,0.6105979313602355,0.6930089019739629,1.0
