,height_12m_cm,weight_12m_g,BMI_12m_zscore,wt_12m_zscore
height_12m_cm,1.0,0.48631380835501026,-0.7059793638924886,0.43450487347363237
weight_12m_g,0.48631380835501026,1.0,-0.0038658566683577172,0.9467475489577052
BMI_12m_zscore,-0.7059793638924886,-0.0038658566683577172,1.0,0.016822180523964326
wt_12m_zscore,0.43450487347363237,0.9467475489577052,0.016822180523964326,1.0
