,BMI_24m_zscore,ht_24m_zscore,wt_24m_zscore
BMI_24m_zscore,1.0,-0.22485365848472566,0.6822962680074518
ht_24m_zscore,-0.22485365848472566,1.0,0.5238644750294985
wt_24m_zscore,0.6822962680074518,0.5238644750294985,1.0
