,birth_order,headcirc_birth_cm,height_birth_cm,weight_birth_g,BMI_birth_zscore,ht_birth_zscore,wt_birth_zscore
birth_order,1.0,0.03187401085597054,0.07661250707450855,0.08825759058024595,0.05390840857859588,0.07855953408959333,0.09489825099242107
headcirc_birth_cm,0.03187401085597054,1.0,0.20663062062328816,0.15753410785481414,0.1610308521922432,0.19947408674856607,0.20891604672739936
height_birth_cm,0.07661250707450855,0.20663062062328816,1.0,0.2517833949913493,-0.22090828860847375,0.9945283250883777,0.3159457846879737
weight_birth_g,0.08825759058024595,0.15753410785481414,0.2517833949913493,1.0,0.8609538613751514,0.2534894711266354,0.9908804560279977
BMI_birth_zscore,0.05390840857859588,0.1610308521922432,-0.22090828860847375,0.8609538613751514,1.0,-0.21674769439505676,0.8371536145254194
ht_birth_zscore,0.07855953408959333,0.19947408674856607,0.9945283250883777,0.2534894711266354,-0.21674769439505676,1.0,0.3228125172176376
wt_birth_zscore,0.09489825099242107,0.20891604672739936,0.3159457846879737,0.9908804560279977,0.8371536145254194,0.3228125172176376,1.0
