,BMI_36m_zscore,ht_36m_zscore,wt_36m_zscore_Imputation
BMI_36m_zscore,1.0,-0.21780724965083315,0.5840252065230606
ht_36m_zscore,-0.21780724965083315,1.0,0.5447594169459448
wt_36m_zscore_Imputation,0.5840252065230606,0.5447594169459448,1.0
