,height_12m_cm,weight_12m_g,BMI_12m_zscore,wt_12m_zscore
height_12m_cm,1.0,0.48528689924400625,-0.7053301592918602,0.4341431826999802
weight_12m_g,0.48528689924400625,1.0,-0.0036196502279876226,0.9468099225407267
BMI_12m_zscore,-0.7053301592918602,-0.0036196502279876226,1.0,0.017074345875015096
wt_12m_zscore,0.4341431826999802,0.9468099225407267,0.017074345875015096,1.0
