,BMI_birth_zscore,ht_birth_zscore,wt_birth_zscore
BMI_birth_zscore,1.0,-0.21638242045582465,0.8369360802496961
ht_birth_zscore,-0.21638242045582465,1.0,0.3235880182318537
wt_birth_zscore,0.8369360802496961,0.3235880182318537,1.0
