,height_12m_cm,weight_12m_g,BMI_12m_zscore,wt_12m_zscore
height_12m_cm,1.0,0.48535110708069884,-0.705960805552659,0.4338565690877839
weight_12m_g,0.48535110708069884,1.0,-0.003904981621754846,0.9468304918410351
BMI_12m_zscore,-0.705960805552659,-0.003904981621754846,1.0,0.016806264745121913
wt_12m_zscore,0.4338565690877839,0.9468304918410351,0.016806264745121913,1.0
