,BMI_18m_zscore,ht_18m_zscore,wt_18m_zscore
BMI_18m_zscore,1.0,0.07542103824926634,0.7668578078057978
ht_18m_zscore,0.07542103824926634,1.0,0.6962476531635988
wt_18m_zscore,0.7668578078057978,0.6962476531635988,1.0
