,birth_order,headcirc_birth_cm,height_birth_cm,weight_birth_g
birth_order,1.0,0.03187401085597054,0.07661250707450855,0.08825759058024595
headcirc_birth_cm,0.03187401085597054,1.0,0.20663062062328816,0.15753410785481414
height_birth_cm,0.07661250707450855,0.20663062062328816,1.0,0.2517833949913493
weight_birth_g,0.08825759058024595,0.15753410785481414,0.2517833949913493,1.0
