,birth_order,headcirc_birth_cm,height_birth_cm,weight_birth_g
birth_order,1.0,0.03162298099449336,0.07593636087181838,0.08907527990204761
headcirc_birth_cm,0.03162298099449336,1.0,0.21085323037752818,0.1587643636201818
height_birth_cm,0.07593636087181838,0.21085323037752818,1.0,0.25279762629082114
weight_birth_g,0.08907527990204761,0.1587643636201818,0.25279762629082114,1.0
