,BMI_18m_zscore,ht_18m_zscore,wt_18m_zscore
BMI_18m_zscore,1.0,0.07729028364882522,0.7674131411185301
ht_18m_zscore,0.07729028364882522,1.0,0.6969731063058477
wt_18m_zscore,0.7674131411185301,0.6969731063058477,1.0
