,height_birth_cm,weight_birth_g,BMI_birth_zscore,ht_birth_zscore,wt_birth_zscore
height_birth_cm,1.0,0.25279762629082114,-0.22057017047396266,0.9945240435432858,0.3166599918624282
weight_birth_g,0.25279762629082114,1.0,0.8606567770274962,0.2545407578313244,0.9908901132823392
BMI_birth_zscore,-0.22057017047396266,0.8606567770274962,1.0,-0.21638242045582465,0.8369360802496961
ht_birth_zscore,0.9945240435432858,0.2545407578313244,-0.21638242045582465,1.0,0.3235880182318537
wt_birth_zscore,0.3166599918624282,0.9908901132823392,0.8369360802496961,0.3235880182318537,1.0
